sid,form,ind,aic,tau,weight1,weight2,mean,meanOFdiff,diffOFmean,diffOFvar
5,mean,0,589.6778,41.69389345145707,0.1879251845611887,,0.10293406394554465,,,
5,mean,1,707.465,0.0,0.0,,1.0,,,
5,meanOFdiff,0,709.465,0.0,1.0,0.0,,1.0,,
5,meanOFdiff,1,709.465,9.807856449672563,1.0,0.0,,-1.0,,
5,diffOFmean,0,629.89,4.1290568491352175,0.5994874034715503,0.5994862480372409,,,0.508876125501238,
5,diffOFmean,1,709.465,0.0,0.0,1.0,,,1.0,
5,diffOFvar,0,709.465,29.782020622565373,1.0,1.0,,,,-1.0
5,diffOFvar,1,331.129,100.0,0.07967645157891126,0.02610396837372961,,,,-1.0
5,mean + meanOFdiff,0,711.465,0.0,1.0,0.0,-1.0,-1.0,,
5,mean + meanOFdiff,1,711.465,0.0,0.0,0.0,1.0,-1.0,,
5,mean + diffOFmean,0,577.8434,96.84925122939492,0.7659175740375873,0.10677909408477541,0.04008591608037884,,-0.024692849060407713,
5,mean + diffOFmean,1,577.8434,37.920468727220275,0.7659288721200844,0.1067537431463137,0.10237921602839366,,-0.06306726119661117,
5,mean + diffOFvar,0,329.2358,100.0,0.084644901066605,0.020075557534665806,-0.02873892952079112,,,-1.0
5,mean + diffOFvar,1,425.7182,100.0,1.0,0.13995885097864855,0.021347230910316577,,,1.0
5,meanOFdiff + diffOFmean,0,711.465,0.0,0.0,0.0,,-1.0,-1.0,
5,meanOFdiff + diffOFmean,1,711.465,34.04066750339443,0.0,0.0,,-1.0,-1.0,
5,meanOFdiff + diffOFvar,0,414.9966,100.0,1.0,0.12098907330119789,,0.2254401918090463,,1.0
5,meanOFdiff + diffOFvar,1,711.465,0.0,0.0,0.0,,-1.0,,-1.0
5,diffOFmean + diffOFvar,0,604.3348,86.5333770544188,0.3722613816738518,0.8669254270840241,,,0.05941971277790078,0.11663452842666143
5,diffOFmean + diffOFvar,1,604.3348,79.40129684428392,0.3722602536045221,0.8669351336235165,,,0.06475684616271049,0.12711094861303002
5,mean + meanOFdiff + diffOFmean,0,713.465,0.0,0.0,1.0,-1.0,-1.0,-1.0,
5,mean + meanOFdiff + diffOFmean,1,615.4466,0.842317290471944,0.7424883010236099,0.0,0.999999994797863,1.0,1.0,
5,mean + meanOFdiff + diffOFvar,0,686.7516,13.30236920809064,0.0015662161504611258,0.0,1.0,-1.0,,-0.9999999323142466
5,mean + meanOFdiff + diffOFvar,1,416.8786,100.0,1.0,0.12263379510993484,0.0021629333827583165,0.20103542971278557,,1.0
5,mean + diffOFmean + diffOFvar,0,713.465,0.0,0.0,0.0,-1.0,,-1.0,1.0
5,mean + diffOFmean + diffOFvar,1,713.465,0.0,0.0,1.0,1.0,,1.0,1.0
5,meanOFdiff + diffOFmean + diffOFvar,0,606.3348,49.720853076505186,0.3722646615166837,0.8669248742020549,,0.36907344917293594,-0.7560790291796982,0.20298864169681158
5,meanOFdiff + diffOFmean + diffOFvar,1,416.9966,100.0,1.0,0.12098899489365143,,-1.0,0.14826475701333122,1.0
5,mean + meanOFdiff + diffOFmean + diffOFvar,0,627.2654,71.5407701798038,0.999858955060159,0.0,-0.9818513173842447,1.0,1.0,-0.9999999466701751
5,mean + meanOFdiff + diffOFmean + diffOFvar,1,715.465,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0
